                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.67276,                 3.3229,                0.83467,                0.00084,                0.12603,                0.00404,                0.00064,                 3.0678,                 4.5257,                 2.4687,             0.00041111,             0.00041111,             0.00041111
                      2,                 0.5015,                 2.2112,                0.80982,                0.02128,                0.03556,                0.00225,                0.00043,                 3.0509,                 5.0143,                 2.5356,             0.00074583,             0.00074583,             0.00074583
                      3,                0.46933,                 1.6686,                0.80664,                0.01209,                0.02222,                0.00153,                0.00022,                 3.0306,                 7.9449,                 2.3475,             0.00099804,             0.00099804,             0.00099804
                      4,                0.45658,                 1.2363,                0.80126,                0.00098,                0.19111,                0.00192,                0.00036,                 3.3509,                 7.5471,                 2.7667,             0.00087875,             0.00087875,             0.00087875
                      5,                0.40652,                 0.9255,                0.79394,                0.01768,                0.02222,                 0.0039,                0.00067,                 3.3926,                 7.1496,                 2.6381,             0.00087875,             0.00087875,             0.00087875
                      6,                 0.3716,                 0.7796,                0.78228,                0.00673,                0.05778,                0.00463,                0.00085,                 3.0398,                 6.9481,                 2.3864,               0.000755,               0.000755,               0.000755
                      7,                0.32065,                0.62667,                0.77904,                0.00996,                0.02222,                0.00425,                0.00093,                 3.1816,                 7.4101,                 2.5319,             0.00063125,             0.00063125,             0.00063125
                      8,                0.30508,                0.54855,                0.77929,                0.00972,                0.05778,                0.00673,                 0.0012,                 3.2542,                 7.4912,                 2.5719,              0.0005075,              0.0005075,              0.0005075
                      9,                 0.2722,                0.45729,                0.77619,                0.00751,                0.03556,                0.00442,                0.00084,                 3.0497,                 7.9439,                  2.356,             0.00038375,             0.00038375,             0.00038375
                     10,                0.25159,                0.43568,                0.77447,                0.00327,                0.01333,                0.00176,                0.00053,                 3.0872,                 7.7944,                 2.4446,                0.00026,                0.00026,                0.00026
