                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.83515,                 2.4918,                 1.2049,                0.00663,                0.98701,                0.55802,                0.45331,                0.65504,                 2.9516,                 1.1132,             0.00030006,             0.00030006,             0.00030006
                      2,                0.63754,                 1.5727,                 1.0694,                      1,                0.12973,                0.54076,                0.39794,                0.76952,                 2.9101,                  1.175,             0.00055573,             0.00055573,             0.00055573
                      3,                0.60166,                  1.285,                 1.0031,                0.75285,                0.69843,                0.88335,                0.62827,                0.82008,                 2.0561,                 1.2128,             0.00074868,             0.00074868,             0.00074868
                      4,                 0.5637,                 1.1588,                   0.99,                0.91724,                0.87431,                0.94004,                0.76806,                0.67467,                 1.3433,                 1.1153,             0.00087893,             0.00087893,             0.00087893
                      5,                0.53568,                  1.015,                0.97513,                0.90533,                0.90035,                0.97073,                0.82965,                0.60312,                0.96814,                 1.0423,             0.00094646,             0.00094646,             0.00094646
                      6,                 0.5349,                0.96075,                0.97472,                0.97582,                0.98068,                0.99257,                0.87713,                0.51829,                 0.8061,                0.96937,             0.00084184,             0.00084184,             0.00084184
                      7,                  0.476,                0.85042,                0.93228,                0.99647,                      1,                  0.995,                0.90218,                 0.4345,                0.63879,                0.92844,             0.00084184,             0.00084184,             0.00084184
                      8,                0.41842,                0.77783,                0.89453,                0.98717,                      1,                0.99487,                0.91215,                0.40951,                0.59288,                0.90911,              0.0006768,              0.0006768,              0.0006768
                      9,                0.39158,                0.72439,                0.88494,                0.99463,                      1,                  0.995,                0.93836,                0.36203,                0.56923,                0.87586,             0.00051177,             0.00051177,             0.00051177
                     10,                0.36573,                0.69117,                 0.8725,                0.99748,                      1,                  0.995,                0.95096,                0.31276,                0.49654,                0.86825,             0.00034674,             0.00034674,             0.00034674
