                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.0223,                  2.847,                0.93246,                0.81094,                0.23409,                0.52942,                0.42731,                0.71518,                 2.8999,                0.89809,             0.00041223,             0.00041223,             0.00041223
                      2,                0.82519,                 1.8829,                0.89164,                 0.4797,                0.81124,                0.73263,                0.60667,                0.66768,                 1.5906,                0.83535,             0.00077419,             0.00077419,             0.00077419
                      3,                0.82027,                 1.5251,                0.88654,                0.84737,                0.73394,                0.84148,                0.72543,                0.66019,                 1.5708,                0.84794,              0.0010812,              0.0010812,              0.0010812
                      4,                0.78084,                 1.2713,                0.89127,                 0.8393,                0.78761,                0.86169,                0.70584,                  0.703,                 1.1396,                0.85362,              0.0010025,              0.0010025,              0.0010025
                      5,                0.75919,                 1.1518,                0.87786,                0.65033,                0.76854,                0.87575,                0.74437,                0.64656,                 1.3902,                0.83691,              0.0010025,              0.0010025,              0.0010025
                      6,                0.68192,                  1.104,                0.85473,                0.60636,                0.72102,                  0.816,                0.70885,                  0.633,                 1.7821,                0.83125,                0.00092,                0.00092,                0.00092
                      7,                0.65361,                0.94735,                0.85272,                 0.8282,                0.77465,                0.93533,                0.80739,                0.58035,                 1.1534,                0.82018,              0.0008375,              0.0008375,              0.0008375
                      8,                0.61956,                0.81387,                0.84463,                0.67614,                0.80294,                0.87305,                0.76743,                0.57367,                 1.2093,                0.82623,               0.000755,               0.000755,               0.000755
                      9,                0.57912,                0.78845,                0.82986,                0.66132,                0.84305,                0.81232,                0.70657,                 0.5366,                 1.3795,                0.81237,              0.0006725,              0.0006725,              0.0006725
                     10,                0.57066,                0.73306,                0.82068,                0.66565,                0.84112,                0.92113,                0.79517,                0.58949,                  1.061,                0.81699,                0.00059,                0.00059,                0.00059
                     11,                0.55406,                0.67007,                0.81866,                0.63771,                0.86213,                0.90521,                0.79482,                0.52972,                 1.2799,                0.81063,              0.0005075,              0.0005075,              0.0005075
                     12,                0.52475,                0.62997,                0.82271,                  0.844,                0.87229,                0.94007,                0.83196,                0.52605,                0.92173,                0.81081,               0.000425,               0.000425,               0.000425
                     13,                0.49995,                0.59502,                 0.8084,                0.80867,                0.84231,                0.93931,                0.85057,                0.48743,                 1.0904,                0.79608,              0.0003425,              0.0003425,              0.0003425
                     14,                0.48396,                0.57011,                0.80722,                0.81152,                0.87396,                0.95919,                   0.86,                0.47437,                0.83993,                0.78962,                0.00026,                0.00026,                0.00026
                     15,                0.46923,                0.53949,                0.80717,                0.84833,                0.87446,                0.93153,                0.84874,                0.48106,                 1.1773,                0.79252,              0.0001775,              0.0001775,              0.0001775
