                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.85851,                 2.0309,                0.92712,                 0.8415,                0.70728,                0.82847,                0.67739,                0.65884,                 1.7181,                0.86627,             0.00036719,             0.00036719,             0.00036719
                      2,                0.69327,                 1.0999,                0.87775,                0.88453,                0.80645,                0.90656,                0.77298,                0.54808,                0.88514,                0.83889,             0.00068885,             0.00068885,             0.00068885
                      3,                0.65354,                0.93766,                0.86433,                 0.8732,                0.86773,                0.93212,                0.79331,                 0.5529,                0.84082,                0.83859,             0.00096162,             0.00096162,             0.00096162
                      4,                0.61904,                0.83004,                0.85493,                 0.9001,                0.89474,                0.95338,                0.82685,                0.52424,                0.71234,                0.82986,             0.00089102,             0.00089102,             0.00089102
                      5,                0.59895,                0.73299,                0.85363,                0.93053,                0.90074,                0.96579,                0.83767,                0.49995,                0.64676,                0.82588,             0.00089102,             0.00089102,             0.00089102
                      6,                0.52575,                0.65153,                0.82873,                0.91657,                0.90406,                0.96078,                0.83807,                0.51485,                0.62123,                0.83411,              0.0008177,              0.0008177,              0.0008177
                      7,                0.51894,                0.60551,                0.83013,                0.93984,                0.92095,                 0.9686,                0.85089,                0.50969,                0.55101,                0.82876,             0.00074437,             0.00074437,             0.00074437
                      8,                0.48862,                0.54407,                0.82433,                0.93601,                0.92217,                0.96102,                0.85017,                0.48884,                 0.5309,                0.83092,             0.00067104,             0.00067104,             0.00067104
                      9,                0.46713,                0.50001,                 0.8208,                0.95761,                0.93241,                0.97529,                0.86732,                0.48189,                0.48654,                0.82919,             0.00059772,             0.00059772,             0.00059772
                     10,                 0.4474,                0.47152,                0.81525,                0.94829,                0.94028,                0.97913,                0.88846,                0.44121,                0.45231,                0.81772,             0.00052439,             0.00052439,             0.00052439
                     11,                0.43748,                0.44846,                0.81076,                0.96911,                0.93444,                0.97623,                0.88614,                0.43452,                0.42594,                0.81429,             0.00045107,             0.00045107,             0.00045107
                     12,                0.41862,                0.42483,                0.80834,                0.95438,                0.94086,                0.97723,                0.87941,                0.45208,                0.43636,                0.81613,             0.00037774,             0.00037774,             0.00037774
                     13,                0.40264,                0.40761,                0.80183,                0.96073,                0.94671,                0.98048,                0.89889,                0.42437,                0.41175,                0.81426,             0.00030441,             0.00030441,             0.00030441
                     14,                 0.3959,                0.39322,                0.80235,                0.95593,                0.94294,                0.98048,                 0.9014,                0.41127,                0.40839,                0.80945,             0.00023109,             0.00023109,             0.00023109
                     15,                0.37358,                 0.3741,                 0.7985,                0.94802,                0.94426,                0.97968,                0.89593,                0.41272,                0.39405,                0.81063,             0.00015776,             0.00015776,             0.00015776
