                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.0745,                 3.1211,                0.98647,                0.01433,                0.75729,                0.25309,                0.15877,                0.74839,                 3.7808,                0.86564,             0.00025553,             0.00025553,             0.00025553
                      2,                0.84506,                 1.9738,                0.92833,                0.01379,                0.75782,                0.38855,                0.25851,                0.72182,                 3.3722,                0.86786,             0.00047048,             0.00047048,             0.00047048
                      3,                0.81522,                 1.6394,                 0.9077,                0.94254,                 0.2594,                0.74953,                0.57585,                0.70912,                 2.6304,                0.88047,             0.00063263,             0.00063263,             0.00063263
                      4,                0.74194,                  1.393,                0.89326,                0.83093,                0.58592,                0.81763,                0.64171,                0.73831,                 1.9123,                0.88626,             0.00074198,             0.00074198,             0.00074198
                      5,                 0.6983,                 1.2494,                0.88406,                0.85259,                 0.7336,                0.86496,                0.70037,                0.64762,                 1.3508,                0.86444,             0.00067104,             0.00067104,             0.00067104
                      6,                0.64993,                 1.1754,                0.86248,                0.75415,                0.80845,                0.86136,                0.70131,                0.61767,                 1.0647,                0.85155,             0.00067104,             0.00067104,             0.00067104
                      7,                0.60092,                 1.0884,                 0.8638,                0.85194,                0.80351,                0.87722,                0.74084,                0.57537,                0.96654,                0.84467,             0.00056105,             0.00056105,             0.00056105
                      8,                0.57424,                 1.0522,                0.84357,                0.82736,                0.84355,                0.89511,                0.75891,                0.55372,                0.90844,                0.83771,             0.00045107,             0.00045107,             0.00045107
                      9,                0.57309,                 1.0039,                0.84705,                0.88562,                0.84002,                0.91463,                0.78821,                0.52287,                0.83239,                0.83414,             0.00034108,             0.00034108,             0.00034108
                     10,                0.52268,                0.92451,                0.83838,                0.86244,                0.87247,                0.92192,                0.80151,                 0.5032,                 0.8015,                 0.8321,             0.00023109,             0.00023109,             0.00023109
