                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.2107,                 3.0233,                 1.0135,                0.00893,                0.60642,                0.21484,                0.13524,                0.81415,                 3.6022,                0.87075,              0.0002875,              0.0002875,              0.0002875
                      2,                0.97465,                 1.7766,                0.96069,                0.01146,                0.74253,                0.47882,                0.36506,                0.74286,                 3.2284,                0.87159,             0.00054873,             0.00054873,             0.00054873
                      3,                0.89249,                 1.3967,                0.92826,                0.96996,                0.22283,                0.69776,                0.55597,                0.76169,                 2.7656,                0.87738,             0.00077035,             0.00077035,             0.00077035
                      4,                0.80282,                 1.1983,                0.90162,                0.91405,                 0.6269,                0.88181,                0.72123,                0.72604,                 1.8673,                0.87257,             0.00095238,             0.00095238,             0.00095238
                      5,                0.77431,                 1.0974,                0.89779,                0.90339,                0.77689,                0.90783,                0.74301,                 0.7093,                 1.1783,                0.86461,                0.00092,                0.00092,                0.00092
                      6,                0.70691,                 1.0685,                0.87308,                0.88556,                0.82044,                0.91763,                0.75358,                0.70603,                0.98424,                0.85671,                0.00092,                0.00092,                0.00092
                      7,                0.67276,                0.97441,                0.86462,                0.88008,                 0.8491,                0.92298,                0.76482,                0.65995,                0.88039,                0.85895,              0.0008375,              0.0008375,              0.0008375
                      8,                 0.6468,                0.90103,                0.85695,                0.91096,                0.85848,                0.93967,                0.78423,                0.62871,                0.77858,                0.85088,               0.000755,               0.000755,               0.000755
                      9,                0.64758,                 0.8814,                0.86086,                0.92014,                0.85054,                0.94218,                0.80706,                0.59039,                0.74804,                0.84719,              0.0006725,              0.0006725,              0.0006725
                     10,                0.60303,                0.83482,                0.85147,                0.93583,                0.85928,                0.94047,                0.80885,                0.58543,                 0.6959,                0.84444,                0.00059,                0.00059,                0.00059
                     11,                0.59733,                0.76748,                0.84877,                0.91317,                0.89952,                 0.9506,                0.80779,                0.59851,                0.66624,                0.84387,              0.0005075,              0.0005075,              0.0005075
                     12,                0.58975,                0.75933,                0.83947,                0.92456,                0.91025,                0.95539,                0.82819,                0.55513,                 0.6511,                0.83675,               0.000425,               0.000425,               0.000425
                     13,                0.56874,                0.72733,                0.83316,                0.93471,                0.87922,                0.95428,                0.82708,                0.55933,                0.64391,                0.83959,              0.0003425,              0.0003425,              0.0003425
                     14,                0.54483,                0.69137,                0.83682,                0.94542,                 0.9154,                0.95708,                0.84513,                0.51825,                0.60479,                0.83022,                0.00026,                0.00026,                0.00026
                     15,                0.51894,                0.66926,                 0.8345,                 0.9442,                 0.9008,                0.96025,                0.85773,                 0.5042,                 0.5905,                0.82991,              0.0001775,              0.0001775,              0.0001775
