                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.2823,                 3.0594,                 1.0275,                0.00862,                0.58276,                0.21955,                0.12578,                0.83452,                  3.641,                 0.8698,              0.0002875,              0.0002875,              0.0002875
                      2,                 1.0028,                 1.8551,                0.96578,                 0.0142,                0.80415,                0.47685,                0.35911,                0.78601,                 3.1881,                0.88317,             0.00054873,             0.00054873,             0.00054873
                      3,                0.91234,                 1.4994,                0.93091,                0.84909,                0.32285,                0.69118,                0.53432,                0.76678,                 2.5592,                0.89719,             0.00077035,             0.00077035,             0.00077035
                      4,                0.84308,                 1.2758,                0.90958,                0.90587,                0.40819,                0.72183,                0.55673,                0.81194,                 2.4995,                0.91973,             0.00095238,             0.00095238,             0.00095238
                      5,                 0.8098,                 1.1612,                 0.9125,                0.92653,                0.72201,                0.86786,                0.69716,                0.72757,                 1.3842,                0.88635,                0.00092,                0.00092,                0.00092
                      6,                0.71269,                 1.1292,                0.87734,                0.82831,                0.80765,                0.89907,                0.71989,                0.73196,                 1.0488,                0.88087,                0.00092,                0.00092,                0.00092
                      7,                0.69493,                 1.0306,                0.87388,                0.82759,                0.79808,                0.89949,                0.73633,                0.69675,                 0.9407,                0.86318,              0.0008375,              0.0008375,              0.0008375
                      8,                0.66047,                0.94717,                0.86363,                0.91739,                  0.832,                0.91887,                0.75589,                 0.6807,                0.82795,                0.86209,               0.000755,               0.000755,               0.000755
                      9,                0.62696,                0.88348,                0.85808,                0.91511,                0.85018,                0.92182,                  0.768,                0.62387,                0.80764,                0.85272,              0.0006725,              0.0006725,              0.0006725
                     10,                0.59894,                 0.8578,                0.85254,                0.92407,                0.85715,                 0.9244,                0.78736,                0.59423,                0.73465,                0.84738,                0.00059,                0.00059,                0.00059
                     11,                0.57521,                0.79325,                0.84805,                0.93288,                0.86204,                0.93369,                0.79546,                0.59601,                0.71415,                0.85381,              0.0005075,              0.0005075,              0.0005075
                     12,                0.57518,                0.76119,                0.84543,                0.91082,                0.89124,                0.93635,                0.81029,                0.57191,                0.68236,                0.84311,               0.000425,               0.000425,               0.000425
                     13,                0.54958,                0.72752,                0.83373,                0.87428,                0.88052,                0.93224,                0.80944,                0.54462,                0.66311,                0.83828,              0.0003425,              0.0003425,              0.0003425
                     14,                0.53216,                0.70273,                0.83736,                0.90035,                0.88811,                0.94386,                0.82734,                0.52689,                0.63462,                 0.8354,                0.00026,                0.00026,                0.00026
                     15,                0.51592,                0.67428,                 0.8373,                0.95723,                0.84739,                0.94435,                0.82922,                0.52583,                0.63179,                0.83376,              0.0001775,              0.0001775,              0.0001775
